Graph_y
Time (Seconds),y (Meters),y_dot (Meters/Seconds)
196.350006,-0.709080,0.258100
196.400009,-0.697549,0.230608
196.449997,-0.687438,0.202224
196.500000,-0.678775,0.173258
196.550003,-0.671579,0.143911
196.600006,-0.665866,0.114263
196.650009,-0.661651,0.084306
196.699997,-0.658935,0.054321
196.750000,-0.657702,0.024658
196.800003,-0.657460,0.004832
196.850006,-0.657342,0.002371
196.900009,-0.657256,0.001726
196.949997,-0.657224,0.000626
197.000000,-0.657219,0.000098
197.050003,-0.657214,0.000112
197.100006,-0.657209,0.000094
197.150009,-0.657213,-0.000079
197.199997,-0.657224,-0.000228
197.250000,-0.657219,0.000113
197.300003,-0.657214,0.000100
197.350006,-0.657219,-0.000101
197.400009,-0.657219,0.0000012
197.449997,-0.657218,0.000013
197.500000,-0.657219,-0.0000095
197.550003,-0.657221,-0.000042
197.600006,-0.657227,-0.000123
197.650009,-0.657217,0.000203
197.699997,-0.657222,-0.000113
197.750000,-0.657220,0.000037
197.800003,-0.657212,0.000179
197.850006,-0.657218,-0.000128
197.900009,-0.657225,-0.000144
197.949997,-0.657226,-0.000013
198.000000,-0.657229,-0.000064
198.050003,-0.657221,0.000153
198.100006,-0.657216,0.000116
198.150009,-0.657217,-0.000035
198.199997,-0.657220,-0.000046
198.250000,-0.657226,-0.000129
198.300003,-0.657228,-0.000038
198.350006,-0.657224,0.000085
198.400009,-0.657215,0.000176
198.449997,-0.657222,-0.000150
198.500000,-0.657230,-0.000160
198.550003,-0.657239,-0.000166
198.600006,-0.657227,0.000226
198.650009,-0.657211,0.000335
198.699997,-0.657219,-0.000162
198.750000,-0.657225,-0.000120
198.800003,-0.657225,-0.0000095
198.850006,-0.657219,0.000129
198.900009,-0.657224,-0.000103
198.949997,-0.657229,-0.000098
199.000000,-0.657227,0.000033
199.050003,-0.657231,-0.000068
199.100006,-0.657238,-0.000145
199.150009,-0.657234,0.000082
199.199997,-0.657223,0.000212
199.250000,-0.657225,-0.000032
199.300003,-0.657230,-0.000098
199.350006,-0.657222,0.000153
199.400009,-0.657249,-0.000539
199.449997,-0.657207,0.000837
199.500000,-0.657185,0.000448
199.550003,-0.657202,-0.000347
