Graph_z
Time (Seconds),z (Meters),z_dot (Meters/Seconds)
210.050003,1.670061,0.008807
210.100006,1.670470,0.008178
210.150009,1.670865,0.007911
210.199997,1.671237,0.007432
210.250000,1.671588,0.007031
210.300003,1.671907,0.006368
210.350006,1.672204,0.005941
210.400009,1.672476,0.005448
210.449997,1.672735,0.005176
210.500000,1.672966,0.004621
210.550003,1.673175,0.004175
210.600006,1.673357,0.003643
210.650009,1.673545,0.003765
210.699997,1.673735,0.003803
210.750000,1.673860,0.002501
210.800003,1.673941,0.001609
210.850006,1.674008,0.001345
210.900009,1.674043,0.000691
210.949997,1.674043,0.0000048
211.000000,1.674015,-0.000565
211.050003,1.673967,-0.000951
211.100006,1.673888,-0.001590
211.150009,1.673783,-0.002089
211.199997,1.673646,-0.002749
211.250000,1.673469,-0.003533
211.300003,1.673276,-0.003858
211.350006,1.673058,-0.004361
211.400009,1.672809,-0.004973
211.449997,1.672532,-0.005555
211.500000,1.672227,-0.006104
211.550003,1.671890,-0.006728
211.600006,1.671513,-0.007534
211.650009,1.670967,-0.010939
211.699997,1.670423,-0.010862
211.750000,1.670031,-0.007856
211.800003,1.669847,-0.003669
211.850006,1.669719,-0.002558
211.900009,1.669668,-0.001023
211.949997,1.669667,-0.000026
212.000000,1.669673,0.000122
212.050003,1.669668,-0.000105
212.100006,1.669668,0.000017
212.150009,1.669664,-0.000086
212.199997,1.669666,0.000036
212.250000,1.669669,0.000060
212.300003,1.669668,-0.000017
212.350006,1.669663,-0.000110
212.400009,1.669661,-0.000041
212.449997,1.669666,0.000112
212.500000,1.669668,0.000033
212.550003,1.669668,-0.0000048
212.600006,1.669667,-0.000021
212.650009,1.669668,0.000021
212.699997,1.669668,0.0000095
212.750000,1.669667,-0.000019
212.800003,1.669658,-0.000186
212.850006,1.669663,0.000098
212.900009,1.669665,0.000041
212.949997,1.669663,-0.000029
213.000000,1.669666,0.000052
213.050003,1.669668,0.000045
213.100006,1.669665,-0.000064
213.150009,1.669667,0.000045
213.199997,1.669666,-0.000031
213.250000,1.669669,0.000060
213.300003,1.669671,0.000045
213.350006,1.669659,-0.000229
213.400009,1.669567,-0.001853
213.449997,1.669660,0.001855
213.500000,1.669672,0.000243
213.550003,1.669665,-0.000129
213.600006,1.669667,0.000033
213.650009,1.669664,-0.000064
213.699997,1.669667,0.000055
213.750000,1.669669,0.000041
213.800003,1.669667,-0.000026
213.850006,1.669668,0.000014
213.900009,1.669670,0.000043
213.949997,1.669666,-0.000083
214.000000,1.669665,-0.0000095
214.050003,1.669668,0.000055
214.100006,1.669667,-0.000021
214.150009,1.669666,-0.000024
214.199997,1.669667,0.000024
214.250000,1.669482,-0.003693
214.300003,1.669642,0.003192
214.350006,1.669665,0.000465
214.400009,1.669665,-0.000012
214.449997,1.669663,-0.000026
214.500000,1.669545,-0.002367
214.550003,1.669628,0.001659
214.600006,1.669671,0.000868
214.650009,1.669670,-0.000026
214.699997,1.669667,-0.000067
214.750000,1.669664,-0.000052
214.800003,1.669669,0.000100
214.850006,1.669667,-0.000041
214.900009,1.669570,-0.001936
214.949997,1.669662,0.001824
215.000000,1.669673,0.000236
215.050003,1.669661,-0.000248
215.100006,1.669521,-0.002792
215.150009,1.669650,0.002575
215.199997,1.669672,0.000439
215.250000,1.669668,-0.000074
215.300003,1.669666,-0.000052
215.350006,1.669667,0.000033
215.400009,1.669669,0.000036
215.449997,1.669665,-0.000081
215.500000,1.669665,0.000000
215.550003,1.669669,0.000086
215.600006,1.669668,-0.000024
215.650009,1.669667,-0.000026
215.699997,1.669659,-0.000148
215.750000,1.669663,0.000079
215.800003,1.669662,-0.000031
215.850006,1.669665,0.000064
215.900009,1.669667,0.000036
215.949997,1.669571,-0.001917
216.000000,1.669661,0.001791
216.050003,1.669673,0.000250
216.100006,1.669669,-0.000091
216.150009,1.669665,-0.000079
216.199997,1.669658,-0.000131
216.250000,1.669661,0.000060
216.300003,1.669664,0.000064
216.350006,1.669665,0.000021
216.400009,1.669664,-0.000026
216.449997,1.669665,0.000029
216.500000,1.669665,-0.000019
216.550003,1.669668,0.000067
216.600006,1.669503,-0.003290
216.650009,1.669648,0.002902
216.699997,1.669672,0.000477
216.750000,1.669670,-0.000048
216.800003,1.669654,-0.000324
216.850006,1.669657,0.000072
216.900009,1.669665,0.000157
216.949997,1.669666,0.000017
217.000000,1.669666,-0.0000024
217.050003,1.669668,0.000045
217.100006,1.669667,-0.000031
217.150009,1.669668,0.000038
217.199997,1.669668,-0.000014
217.250000,1.669663,-0.000086
217.300003,1.669669,0.000112
217.350006,1.669666,-0.000057
217.400009,1.669660,-0.000124
217.449997,1.669660,0.000000
217.500000,1.669666,0.000112
217.550003,1.669665,-0.0000072
217.600006,1.669663,-0.000036
217.650009,1.669551,-0.002253
217.699997,1.669658,0.002146
217.750000,1.669673,0.000298
217.800003,1.669669,-0.000081
