Graph
Time (Seconds),q1 (Degrees),q1_dot (Degrees/Seconds)
202.750000,-59.489243,-20.724161
202.800003,-60.432243,-18.860065
202.850006,-61.270802,-16.771120
202.900009,-62.008022,-14.744466
202.949997,-62.645363,-12.746773
203.000000,-63.190315,-10.899070
203.050003,-63.627777,-8.749199
203.100006,-63.966347,-6.771450
203.150009,-64.200623,-4.685510
203.199997,-64.341705,-2.821688
203.250000,-64.395218,-1.070154
203.300003,-64.412781,-0.351345
203.350006,-64.418762,-0.119665
203.400009,-64.425674,-0.138243
203.449997,-64.424667,0.020217
203.500000,-64.423874,0.015846
203.550003,-64.423332,0.010928
203.600006,-64.423180,0.003005
203.650009,-64.423111,0.001366
203.699997,-64.423355,-0.004918
203.750000,-64.423264,0.001912
203.800003,-64.422768,0.009835
203.850006,-64.422211,0.011202
203.900009,-64.422752,-0.010928
203.949997,-64.423180,-0.008469
204.000000,-64.423248,-0.001366
204.050003,-64.422935,0.006284
204.100006,-64.422745,0.003825
204.150009,-64.422806,-0.001366
204.199997,-64.422493,0.006284
204.250000,-64.422508,-0.000273
204.300003,-64.422440,0.001366
204.350006,-64.422729,-0.005737
204.400009,-64.422958,-0.004645
204.449997,-64.423248,-0.005737
204.500000,-64.422905,0.006830
204.550003,-64.423409,-0.010109
204.600006,-64.423393,0.000273
204.650009,-64.423248,0.003005
204.699997,-64.423149,0.001912
204.750000,-64.423180,-0.000546
204.800003,-64.423004,0.003552
204.850006,-64.422836,0.003278
204.900009,-64.423042,-0.004098
204.949997,-64.422630,0.008196
205.000000,-64.422806,-0.003552
205.050003,-64.423027,-0.004371
205.100006,-64.423149,-0.002459
205.150009,-64.424179,-0.020491
205.199997,-64.423340,0.016666
205.250000,-64.422752,0.011748
205.300003,-64.422729,0.000546
205.350006,-64.422874,-0.003005
205.400009,-64.422943,-0.001366
205.449997,-64.422867,0.001639
205.500000,-64.422745,0.002459
205.550003,-64.422745,0.000000
205.600006,-64.423195,-0.009016
205.650009,-64.423042,0.003005
205.699997,-64.423409,-0.007377
205.750000,-64.422745,0.013387
205.800003,-64.422523,0.004371
205.850006,-64.422424,0.001912
205.900009,-64.422836,-0.008196
205.949997,-64.423271,-0.008743
206.000000,-64.430077,-0.136057
206.050003,-64.427055,0.060379
206.100006,-64.424736,0.046445
206.150009,-64.423782,0.019125
206.199997,-64.423096,0.013660
206.250000,-64.422874,0.004371
206.300003,-64.421989,0.017758
206.350006,-64.422485,-0.009835
206.400009,-64.423149,-0.013387
206.449997,-64.423317,-0.003278
206.500000,-64.422935,0.007650
206.550003,-64.422890,0.000820
206.600006,-64.422935,-0.000820
206.650009,-64.422806,0.002459
206.699997,-64.422806,0.000000
206.750000,-64.422836,-0.000546
206.800003,-64.422783,0.001093
206.850006,-64.422806,-0.000546
206.900009,-64.422302,0.010109
206.949997,-64.424629,-0.046445
207.000000,-64.423851,0.015573
207.050003,-64.423561,0.005737
207.100006,-64.427124,-0.071307
207.150009,-64.425339,0.035790
207.199997,-64.423653,0.033605
207.250000,-64.423393,0.005191
207.300003,-64.422974,0.008469
207.350006,-64.427551,-0.091525
207.400009,-64.426323,0.024589
207.449997,-64.424599,0.034424
207.500000,-64.423508,0.021857
207.550003,-64.423233,0.005464
207.600006,-64.422905,0.006557
207.650009,-64.424561,-0.033058
207.699997,-64.423615,0.018851
207.750000,-64.423393,0.004371
207.800003,-64.423264,0.002732
207.850006,-64.422958,0.006011
207.900009,-64.422943,0.000273
207.949997,-64.422401,0.010928
208.000000,-64.422417,-0.000273
208.050003,-64.422279,0.002732
208.100006,-64.422890,-0.012294
208.150009,-64.422821,0.001366
208.199997,-64.423409,-0.011748
208.250000,-64.423317,0.001912
208.300003,-64.422958,0.007103
208.350006,-64.424049,-0.021857
208.400009,-64.423531,0.010382
208.449997,-64.423615,-0.001639
208.500000,-64.422935,0.013660
208.550003,-64.422943,-0.000273
208.600006,-64.422935,0.000273
208.650009,-64.423149,-0.004371
208.699997,-64.426064,-0.058193
208.750000,-64.424698,0.027321
208.800003,-64.423790,0.018032
208.850006,-64.423599,0.003825
208.900009,-64.423286,0.006284
208.949997,-64.423531,-0.004918
209.000000,-64.423012,0.010382
209.050003,-64.422676,0.006830
209.100006,-64.422646,0.000546
209.150009,-64.422806,-0.003278
209.199997,-64.422989,-0.003552
209.250000,-64.422714,0.005464
209.300003,-64.422806,-0.001912
209.350006,-64.423454,-0.012841
209.400009,-64.423264,0.003825
209.449997,-64.423134,0.002459
209.500000,-64.390350,0.655698
209.550003,-64.281754,2.172000
209.600006,-64.078964,4.055767
209.650009,-63.779297,5.993354
209.699997,-63.380905,7.967825
209.750000,-62.882740,9.963334
209.800003,-62.283676,11.981245
209.850006,-61.585781,13.957902
209.900009,-60.788055,15.954502
209.949997,-59.894463,17.871874
210.000000,-58.891830,20.052616
210.050003,-57.792267,21.991297
210.100006,-56.598351,23.878342
210.150009,-55.295464,26.057718
210.199997,-53.896366,27.981920
210.250000,-52.406063,29.806126
210.300003,-50.805447,32.012276
210.350006,-49.113445,33.840034
210.400009,-47.317612,35.916687
210.449997,-45.425022,37.851814
210.500000,-43.424965,40.001141
210.550003,-41.326881,41.961678
210.600006,-39.125195,44.033684
210.650009,-36.874989,45.004116
210.699997,-34.671394,44.071934
210.750000,-32.530743,42.812992
210.800003,-30.487862,40.857647
210.850006,-28.545191,38.853394
210.900009,-26.709032,36.723194
210.949997,-24.974560,34.689438
211.000000,-23.333689,32.817421
211.050003,-21.801731,30.639135
211.100006,-20.355726,28.920115
211.150009,-19.013376,26.847015
211.199997,-17.777794,24.711624
211.250000,-16.641619,22.723494
211.300003,-15.598486,20.862677
211.350006,-14.660018,18.769360
211.400009,-13.816517,16.870022
211.449997,-13.081028,14.709769
211.500000,-12.442911,12.762345
211.550003,-11.904227,10.773667
211.600006,-11.464240,8.799743
211.650009,-11.123906,6.806694
211.699997,-10.883852,4.801076
211.750000,-10.744680,2.783439
211.800003,-10.692266,1.048297
211.850006,-10.675668,0.331947
211.900009,-10.671392,0.085514
211.949997,-10.668386,0.060106
212.000000,-10.666351,0.040708
212.050003,-10.665764,0.011748
212.100006,-10.664999,0.015300
212.150009,-10.664453,0.010928
212.199997,-10.664699,-0.004918
212.250000,-10.663442,0.025135
212.300003,-10.664494,-0.021037
212.350006,-10.664917,-0.008469
212.400009,-10.664930,-0.000273
212.449997,-10.665109,-0.003552
212.500000,-10.665245,-0.002732
212.550003,-10.665163,0.001639
212.600006,-10.663251,0.038249
212.650009,-10.664357,-0.022130
212.699997,-10.664863,-0.010109
212.750000,-10.665027,-0.003278
212.800003,-10.665191,-0.003278
212.850006,-10.665299,-0.002186
212.900009,-10.665150,0.003005
212.949997,-10.665354,-0.004098
213.000000,-10.665532,-0.003552
213.050003,-10.665040,0.009835
213.100006,-10.664930,0.002186
213.150009,-10.665436,-0.010109
213.199997,-10.661461,0.079503
213.250000,-10.663401,-0.038795
213.300003,-10.664057,-0.013114
213.350006,-10.664316,-0.005191
213.400009,-10.664371,-0.001093
213.449997,-10.664617,-0.004918
213.500000,-10.664835,-0.004371
213.550003,-10.664275,0.011202
213.600006,-10.664630,-0.007103
213.650009,-10.664712,-0.001639
213.699997,-10.664617,0.001912
213.750000,-10.664822,-0.004098
213.800003,-10.665027,-0.004098
213.850006,-10.665204,-0.003552
213.900009,-10.664889,0.006284
213.949997,-10.664930,-0.000820
214.000000,-10.664685,0.004918
214.050003,-10.664644,0.000820
214.100006,-10.665081,-0.008743
214.150009,-10.664794,0.005737
214.199997,-10.664330,0.009289
214.250000,-10.665040,-0.014207
214.300003,-10.664876,0.003278
214.350006,-10.664971,-0.001912
214.400009,-10.665150,-0.003552
214.449997,-10.664848,0.006011
214.500000,-10.664343,0.010109
214.550003,-10.664930,-0.011748
214.600006,-10.665232,-0.006011
214.650009,-10.663934,0.025955
214.699997,-10.664357,-0.008469
214.750000,-10.664781,-0.008469
214.800003,-10.664835,-0.001093
214.850006,-10.664535,0.006011
214.900009,-10.664425,0.002186
214.949997,-10.664644,-0.004371
215.000000,-10.664986,-0.006830
215.050003,-10.665081,-0.001912
215.100006,-10.665518,-0.008743
215.150009,-10.665217,0.006011
215.199997,-10.664658,0.011202
215.250000,-10.664371,0.005737
215.300003,-10.664316,0.001093
215.350006,-10.664221,0.001912
215.400009,-10.664699,-0.009562
215.449997,-10.664740,-0.000820
215.500000,-10.664207,0.010655
215.550003,-10.664398,-0.003825
215.600006,-10.664343,0.001093
215.650009,-10.664630,-0.005737
215.699997,-10.664835,-0.004098
215.750000,-10.662103,0.054642
215.800003,-10.663087,-0.019671
215.850006,-10.663906,-0.016392
215.900009,-10.664262,-0.007103
215.949997,-10.664330,-0.001366
216.000000,-10.664480,-0.003005
216.050003,-10.665232,-0.015026
216.100006,-10.664740,0.009835
216.150009,-10.665109,-0.007377
216.199997,-10.665027,0.001639
216.250000,-10.665340,-0.006284
216.300003,-10.664712,0.012568
216.350006,-10.664603,0.002186
216.400009,-10.664357,0.004918
216.449997,-10.664712,-0.007103
216.500000,-10.665204,-0.009835
216.550003,-10.664822,0.007650
216.600006,-10.658947,0.117479
216.650009,-10.661776,-0.056554
216.699997,-10.662991,-0.024315
216.750000,-10.664316,-0.026501
216.800003,-10.665068,-0.015026
216.850006,-10.663414,0.033058
216.900009,-10.663633,-0.004371
216.949997,-10.664343,-0.014207
217.000000,-10.664548,-0.004098
217.050003,-10.664412,0.002732
217.100006,-10.665150,-0.014753
217.150009,-10.664958,0.003825
217.199997,-10.664726,0.004645
217.250000,-10.664357,0.007377
217.300003,-10.664466,-0.002186
217.350006,-10.664958,-0.009835
217.400009,-10.664999,-0.000820
217.449997,-10.665245,-0.004918
217.500000,-10.664603,0.012841
217.550003,-10.665191,-0.011748
217.600006,-10.665150,0.000820
217.650009,-10.664794,0.007103
217.699997,-10.664412,0.007650
217.750000,-10.664945,-0.010655
217.800003,-10.664740,0.004098
217.850006,-10.664835,-0.001912
217.900009,-10.631668,0.663348
217.949997,-10.536905,1.895241
218.000000,-10.418552,2.367070
218.050003,-10.288205,2.606947
218.100006,-10.160221,2.559682
218.150009,-10.024163,2.721147
218.199997,-9.892231,2.638639
218.250000,-9.759562,2.653392
218.300003,-9.631618,2.558862
218.350006,-9.501312,2.606127
218.400009,-9.366444,2.697378
218.449997,-9.237557,2.577713
218.500000,-9.106746,2.616236
218.550003,-8.975661,2.621700
218.600006,-8.844809,2.617055
218.650009,-8.712726,2.641644
218.699997,-8.582214,2.610225
218.750000,-8.447961,2.685084
218.800003,-8.316547,2.628257
218.850006,-8.186118,2.608586
218.900009,-8.055019,2.621973
218.949997,-7.922924,2.641917
219.000000,-7.790910,2.640278
219.050003,-7.661014,2.597931
219.100006,-7.528358,2.653119
219.150009,-7.395510,2.656944
219.199997,-7.264002,2.630169
219.250000,-7.132480,2.630442
219.300003,-7.006873,2.512144
219.350006,-6.874722,2.643010
219.400009,-6.741124,2.671970
219.449997,-6.607006,2.682352
219.500000,-6.475047,2.639185
219.550003,-6.342910,2.642737
219.600006,-6.211825,2.621700
219.650009,-6.080221,2.632082
219.699997,-5.948562,2.633175
219.750000,-5.820059,2.570064
