Graph_yaw
Time (Seconds),yaw (Degrees),yaw_dot (Degrees/Seconds)
217.600006,0.000000,0.000000
217.650009,0.000000,0.000000
217.699997,0.000000,0.000000
217.750000,0.000000,0.000000
217.800003,0.000000,0.000000
217.850006,0.000000,0.000000
217.900009,0.000000,0.000000
217.949997,0.000000,0.000000
218.000000,90.639206,1812.673584
218.050003,85.032066,-112.135986
218.100006,81.644569,-67.745743
218.150009,79.196945,-48.949524
218.199997,77.114807,-41.653015
218.250000,75.152420,-39.245239
218.300003,73.217453,-38.696941
218.350006,71.298874,-38.369389
218.400009,69.300644,-39.962093
218.449997,67.285049,-40.321758
218.500000,65.314430,-39.409973
218.550003,63.354370,-39.198795
218.600006,61.355816,-39.968647
218.650009,59.304005,-41.033684
218.699997,57.187103,-42.348358
218.750000,54.987022,-43.998966
218.800003,52.723576,-45.266159
218.850006,50.458008,-45.308640
218.900009,48.205784,-45.041664
218.949997,45.969601,-44.734592
219.000000,43.746323,-44.462841
219.050003,41.527714,-44.369480
219.100006,39.315121,-44.249207
219.150009,37.096645,-44.366749
219.199997,34.877308,-44.397575
219.250000,32.652237,-44.498768
219.300003,30.416924,-44.703526
219.350006,28.175695,-44.821815
219.400009,25.926964,-44.971867
219.449997,23.668596,-45.178391
219.500000,21.399158,-45.385990
219.550003,19.125664,-45.467125
219.600006,16.833612,-45.838223
219.650009,14.534009,-45.989262
219.699997,12.222225,-46.246975
219.750000,9.902011,-46.401459
219.800003,7.572876,-46.579853
219.850006,5.233864,-46.777386
219.900009,2.886992,-46.934563
219.949997,0.526817,-47.215042
220.000000,-1.850567,-47.544765
220.050003,-4.254368,-48.073093
220.100006,-6.682923,-48.568150
220.150009,-9.134536,-49.029247
220.199997,-11.604344,-49.408245
220.250000,-14.098922,-49.888496
220.300003,-16.614283,-50.304127
220.350006,-19.151070,-50.732674
220.400009,-21.707304,-51.121563
220.449997,-24.283253,-51.531536
220.500000,-26.879801,-51.927818
220.550003,-29.500111,-52.402966
220.600006,-32.140759,-52.809711
220.650009,-34.810711,-53.395844
220.699997,-37.497086,-53.740620
220.750000,-40.216496,-54.384861
220.800003,-42.966824,-55.003231
220.850006,-45.749405,-55.648232
220.900009,-48.564640,-56.301231
220.949997,-51.414787,-57.016834
221.000000,-54.306519,-57.831097
