Graph_roll
Time (Seconds),roll (Degrees),roll_dot (Degrees/Seconds)
187.500000,179.894043,-0.002459
187.550003,179.894073,0.000546
187.600006,179.894104,0.000546
187.650009,179.893982,-0.002186
187.699997,179.894058,0.001366
187.750000,179.893875,-0.003551
187.800003,179.893982,0.001912
187.850006,179.893890,-0.001639
187.900009,179.893799,-0.001912
187.949997,179.893845,0.000820
188.000000,179.893860,0.000546
188.050003,179.893997,0.002732
188.100006,179.894135,0.002732
188.150009,179.893982,-0.003278
188.199997,179.893738,-0.004646
188.250000,179.893860,0.002459
188.300003,179.893890,0.000546
188.350006,179.893692,-0.004098
188.400009,179.893814,0.002459
188.449997,179.893921,0.002186
188.500000,179.893723,-0.003825
188.550003,179.893860,0.002732
188.600006,179.894165,0.006010
188.650009,179.894104,-0.001366
188.699997,179.894058,-0.000820
188.750000,179.893982,-0.001639
188.800003,179.894073,0.001912
188.850006,179.894180,0.002186
188.900009,179.894287,0.002186
188.949997,179.894318,0.000547
189.000000,179.894165,-0.003005
189.050003,179.894379,0.004098
189.100006,179.894394,0.000546
189.150009,179.894363,-0.000820
189.199997,179.894318,-0.000820
189.250000,179.894211,-0.002186
189.300003,179.894135,-0.001366
189.350006,179.894150,0.000273
189.400009,179.894257,0.002186
189.449997,179.894211,-0.001093
189.500000,179.894272,0.001366
189.550003,179.894028,-0.004917
189.600006,179.894135,0.002186
189.650009,179.894440,0.006010
189.699997,179.894470,0.000547
189.750000,179.894241,-0.004644
189.800003,179.894119,-0.002459
189.850006,179.894241,0.002459
189.900009,179.894302,0.001366
189.949997,179.894272,-0.000547
190.000000,179.894196,-0.001639
190.050003,179.894165,-0.000546
190.100006,179.894241,0.001366
190.150009,179.894226,-0.000273
190.199997,179.894104,-0.002459
190.250000,179.894226,0.002459
190.300003,179.894257,0.000820
190.350006,179.893982,-0.005464
190.400009,179.893890,-0.001912
190.449997,179.893860,-0.000547
190.500000,179.893951,0.001639
190.550003,179.894165,0.004371
190.600006,179.894302,0.002732
190.650009,179.894135,-0.003278
190.699997,179.894135,0.000000
190.750000,179.894180,0.000820
190.800003,179.894104,-0.001639
190.850006,179.894241,0.003005
190.900009,179.894363,0.002186
190.949997,179.894150,-0.004099
191.000000,179.893845,-0.006283
191.050003,179.893768,-0.001366
191.100006,179.893509,-0.005191
191.150009,179.893570,0.001093
191.199997,179.893768,0.004099
191.250000,179.894211,0.008742
191.300003,179.893982,-0.004371
191.350006,179.893906,-0.001639
191.400009,179.894104,0.003825
191.449997,179.894089,-0.000273
191.500000,179.894180,0.001912
191.550003,179.894119,-0.001366
191.600006,179.893890,-0.004371
191.650009,179.893875,-0.000273
191.699997,179.893707,-0.003553
191.750000,179.893555,-0.003005
191.800003,179.893585,0.000820
191.850006,179.893646,0.001093
191.900009,179.893753,0.002186
191.949997,179.893753,0.000000
192.000000,179.893860,0.002186
192.050003,179.893738,-0.002459
192.100006,179.893738,0.000000
192.150009,179.893723,-0.000273
192.199997,179.893631,-0.001913
192.250000,179.893753,0.002459
192.300003,179.893753,0.000000
192.350006,179.893768,0.000273
192.400009,179.893829,0.001093
192.449997,179.893677,-0.003006
192.500000,179.893570,-0.002186
192.550003,179.893585,0.000273
192.600006,179.893341,-0.004644
192.650009,179.884598,-0.174842
